Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, K, L, M, N, Open, High, Low, Close, Ask Volume, Bid Volume, Zero Line, Difference
2025-7-29, 07:55:00.000000, 638.46, 638.53, 638.46, 638.50, 1660, 13, 638.49, 638.50, 638.49, 530, 1130, 0.000, 0.000, 0.000, 0.000, 56, 730, 56, 600, 1130, -530, 0, 600
2025-7-29, 08:00:00.000000, 638.80, 638.87, 637.82, 638.55, 31284, 119, 638.51, 638.41, 638.34, 13492, 17792, 0.000, 0.000, 0.000, 0.000, 3560, 10139, 3560, 4300, 17792, -13492, 0, 4300
2025-7-29, 08:05:00.000000, 638.58, 638.70, 638.56, 638.58, 3308, 20, 638.61, 638.61, 638.63, 1118, 2190, 0.000, 0.000, 0.000, 0.000, 0, 1543, -197, 1072, 2190, -1118, 0, 1072
2025-7-29, 08:10:00.000000, 638.57, 638.59, 638.48, 638.49, 4156, 25, 638.53, 638.52, 638.53, 925, 3231, 0.000, 0.000, 0.000, 0.000, 375, 2306, 375, 2306, 3231, -925, 0, 2306
2025-7-29, 08:15:00.000000, 638.49, 638.54, 638.40, 638.48, 13070, 63, 638.48, 638.47, 638.47, 4980, 8090, 0.000, 0.000, 0.000, 0.000, 0, 3325, -540, 3110, 8090, -4980, 0, 3110
2025-7-29, 08:20:00.000000, 638.44, 638.44, 638.30, 638.35, 9865, 54, 638.38, 638.36, 638.37, 9059, 806, 0.000, 0.000, 0.000, 0.000, -400, -400, -8353, -8253, 806, -9059, 0, -8253
2025-7-29, 08:25:00.000000, 638.34, 638.34, 638.25, 638.30, 15792, 58, 638.31, 638.30, 638.30, 8781, 7011, 0.000, 0.000, 0.000, 0.000, 0, 2064, -1770, -1770, 7011, -8781, 0, -1770
2025-7-29, 08:30:00.000000, 638.28, 638.37, 638.28, 638.33, 6020, 36, 638.32, 638.33, 638.33, 2843, 3177, 0.000, 0.000, 0.000, 0.000, 0, 934, -666, 334, 3177, -2843, 0, 334
2025-7-29, 08:35:00.000000, 638.33, 638.44, 638.30, 638.40, 29946, 132, 638.37, 638.38, 638.37, 16780, 13166, 0.000, 0.000, 0.000, 0.000, 0, 5645, -4352, -3614, 13166, -16780, 0, -3614
2025-7-29, 08:40:00.000000, 638.40, 638.45, 638.28, 638.28, 5921, 30, 638.35, 638.34, 638.36, 2334, 3587, 0.000, 0.000, 0.000, 0.000, 200, 1627, 200, 1253, 3587, -2334, 0, 1253
2025-7-29, 08:45:00.000000, 638.30, 638.32, 638.18, 638.22, 10971, 52, 638.26, 638.24, 638.25, 3472, 7499, 0.000, 0.000, 0.000, 0.000, 0, 4027, -100, 4027, 7499, -3472, 0, 4027
2025-7-29, 08:50:00.000000, 638.21, 638.24, 638.08, 638.11, 14226, 81, 638.16, 638.14, 638.16, 9909, 4317, 0.000, 0.000, 0.000, 0.000, -951, -951, -6592, -5592, 4317, -9909, 0, -5592
2025-7-29, 08:55:00.000000, 638.11, 638.13, 637.98, 638.12, 29472, 107, 638.08, 638.08, 638.05, 18154, 11318, 0.000, 0.000, 0.000, 0.000, 0, 3500, -8366, -6836, 11318, -18154, 0, -6836
2025-7-29, 09:00:00.000000, 638.11, 638.24, 637.99, 638.20, 20005, 79, 638.14, 638.14, 638.11, 15409, 4596, 0.000, 0.000, 0.000, 0.000, 0, 600, -11138, -10813, 4596, -15409, 0, -10813
2025-7-29, 09:05:00.000000, 638.18, 638.25, 638.12, 638.16, 16569, 71, 638.18, 638.18, 638.18, 9653, 6916, 0.000, 0.000, 0.000, 0.000, 0, 300, -4232, -2737, 6916, -9653, 0, -2737
2025-7-29, 09:10:00.000000, 638.14, 638.17, 638.03, 638.14, 13901, 60, 638.12, 638.11, 638.10, 3263, 10638, 0.000, 0.000, 0.000, 0.000, 300, 7375, 300, 7375, 10638, -3263, 0, 7375
2025-7-29, 09:15:00.000000, 638.13, 638.18, 638.08, 638.16, 17265, 46, 638.14, 638.14, 638.13, 10620, 6645, 0.000, 0.000, 0.000, 0.000, 0, 1147, -6787, -3975, 6645, -10620, 0, -3975
2025-7-29, 09:20:00.000000, 638.15, 638.39, 638.15, 638.33, 15452, 79, 638.26, 638.29, 638.27, 5291, 10161, 0.000, 0.000, 0.000, 0.000, 0, 5365, -400, 4870, 10161, -5291, 0, 4870
2025-7-29, 09:25:00.000000, 638.28, 638.39, 638.14, 638.34, 38448, 141, 638.29, 638.29, 638.27, 17781, 20667, 0.000, 0.000, 0.000, 0.000, 0, 10467, -900, 2886, 20667, -17781, 0, 2886
